24,21.488
0,0
1,0.012
2,0.048
3,0.1
4,0.408
5,0.7
6,0.372
7,0.368
8,1.604
9,1.044
10,0.76
11,2.124
12,5.748
13,1.744
14,3.552
15,7.424
16,8.672
17,3.556
18,3.572
19,2
20,10.148
21,9.136
22,4.524
23,41
24,21.328
0,0
1,0.012
2,0.048
3,0.108
4,0.832
5,0.232
6,1.292
7,2.968
8,1.6
9,1.912
10,2.04
11,9.296
12,5.644
13,2.232
14,3.668
15,6.368
16,1.76
17,3.964
18,8.624
19,3.056
20,1.78
21,4.296
22,1.84
23,8.052
24,19.908
0,0
1,0.008
2,0.044
3,0.092
4,0.156
5,1.396
6,1.296
7,0.912
8,2.284
9,2.072
10,0.816
11,4.464
12,0.912
13,1.244
14,9.176
15,1.784
16,5.488
17,4.364
18,4.98
19,9.556
20,15.688
21,3.408
22,5.412
23,3.608
24,11.4
0,0
1,0
2,0.036
3,0.092
4,0.164
5,0.936
6,0.528
7,4.364
8,1.404
9,4.572
10,3.856
11,11.28
12,2.952
13,3.272
14,4.296
15,1.22
16,5.576
17,11.528
18,1.808
19,16.62
20,2.948
21,2.656
22,2.744
23,6.96
24,3.052
0,0
1,0.012
2,0.044
3,0.088
4,0.532
5,0.328
6,0.496
7,0.928
8,2.948
9,5.856
10,1.576
11,7.284
12,1.612
13,2.828
14,2.208
15,1.344
16,3.4
17,4.816
18,7.212
19,0.972
20,0.916
21,4.348
22,11.072
23,3.58
24,5.168
0,0
1,0.008
2,0.048
3,0.096
4,0.284
5,1.188
6,1.104
7,1.368
8,2.916
9,1.888
10,1.468
11,4.8
12,6.964
13,3.528
14,6.692
15,0.972
16,9.776
17,5.668
18,1.704
19,5.336
20,9.78
21,2.236
22,3.924
23,12.428
24,4.484
0,0
1,0.012
2,0.048
3,0.096
4,0.452
5,0.3
6,0.588
7,0.56
8,2.004
9,0.584
10,4.188
11,8.168
12,2.868
13,3.124
14,1.772
15,4.896
16,8.04
17,4.248
18,25.064
19,6.088
20,1.808
21,4.612
22,15.64
23,6.804
24,1.212
0,0
1,0.012
2,0.048
3,0.232
4,0.192
5,0.512
6,0.548
7,0.96
8,0.476
9,4.784
10,1.304
11,1.02
12,5.008
13,6.516
14,14.632
15,1.376
16,1.6
17,9.544
18,32.156
19,14.052
20,7.46
21,6.54
22,3.608
23,27.648
24,5.576
0,0
1,0.012
2,0.044
3,0.196
4,0.348
5,0.292
6,0.944
7,1.86
8,2.132
9,0.516
10,1.4
11,13.364
12,3.1
13,7.448
14,20.012
15,5.068
16,0.784
17,10.944
18,15.14
19,13.964
20,7.328
21,2.28
22,1.096
23,5.476
24,10.932
0,0
1,0.012
2,0.044
3,0.092
4,0.204
5,0.604
6,1.72
7,2.888
8,2.116
9,1.488
10,1.116
11,2.844
12,5.052
13,6.392
14,3.08
15,1.792
16,2.648
17,2
18,3.184
19,16.488
20,2.244
21,5.432
22,7.592
23,7.74
24,7.124
0,0
1,0.012
2,0.044
3,0.116
4,0.232
5,1.428
6,0.876
7,2.572
8,1.716
9,6.228
10,3.076
11,7.436
12,1.82
13,6.596
14,4.832
15,1.176
16,4.112
17,15.164
18,6.536
19,5.924
20,1.2
21,22.092
22,12.192
23,16.452
24,5.82
0,0
1,0.008
2,0.048
3,0.1
4,0.424
5,0.38
6,0.404
7,12.536
8,1.732
9,4.308
10,3.5
11,17.228
12,1.064
13,0.76
14,9.524
15,4.716
16,1.072
17,4.844
18,3.4
19,18.228
20,3.46
21,9.96
22,8.372
23,5.108
24,18.492
0,0
1,0.008
2,0.044
3,0.12
4,0.16
5,0.224
6,1.236
7,0.292
8,1.26
9,0.544
10,0.988
11,3.628
12,2.124
13,4.504
14,2.62
15,9.248
16,5.644
17,12.296
18,2.808
19,0.904
20,2.888
21,9.344
22,14.18
23,6.352
24,14.02
0,0
1,0.008
2,0.048
3,0.112
4,0.16
5,0.668
6,0.98
7,0.772
8,0.924
9,1.232
10,3.272
11,2.024
12,3.064
13,9.128
14,4.492
15,8.544
16,3.66
17,3.172
18,7.868
19,13.804
20,21.72
21,1.66
22,4.484
23,10.172
24,12.416
0,0
1,0.012
2,0.048
3,0.088
4,0.14
5,0.532
6,2.26
7,1.188
8,0.744
9,2.988
10,0.988
11,4.348
12,8.54
13,1.372
14,2.444
15,5.14
16,4.712
17,6.852
18,2.2
19,4.004
20,6.308
21,6.664
22,23.504
23,3.716
24,4.928
0,0
1,0.008
2,0.044
3,0.144
4,0.196
5,0.228
6,0.804
7,2.936
8,0.892
9,0.528
10,5.148
11,2.876
12,2.66
13,6.384
14,2.66
15,1.272
16,3.552
17,3.192
18,7.416
19,4.14
20,2.024
21,4.856
22,4.836
23,3.648
24,6.768
0,0
1,0.008
2,0.044
3,0.136
4,0.416
5,0.46
6,0.368
7,1.132
8,3.364
9,10.028
10,3.144
11,2.24
12,4.116
13,5.28
14,1.62
15,0.928
16,8.088
17,6.088
18,9.872
19,1.888
20,6.78
21,16.18
22,8.588
23,7.372
24,47.696
0,0
1,0.012
2,0.048
3,0.176
4,0.268
5,0.812
6,0.316
7,2.128
8,1.58
9,3.716
10,6.76
11,3.568
12,0.808
13,2.408
14,2.94
15,7.932
16,2.888
17,1.78
18,18.912
19,2.376
20,4.668
21,30.416
22,3.232
23,10.516
24,6.668
0,0
1,0.008
2,0.048
3,0.104
4,0.316
5,0.204
6,3.564
7,0.676
8,1.276
9,1.032
10,3.288
11,5.892
12,1.02
13,1.06
14,4.072
15,3.492
16,10.58
17,4.684
18,7.544
19,14.92
20,11.8
21,6.608
22,2.276
23,7.712
24,7.708
0,0
1,0.012
2,0.048
3,0.088
4,0.44
5,0.272
6,2.444
7,0.728
8,6.144
9,0.684
10,0.76
11,11.276
12,6.148
13,0.828
14,2.452
15,11.616
16,8.456
17,5.02
18,30.1
19,7.472
20,15.596
21,25.888
22,1.108
23,5.136
24,3.944
0,0
1,0.012
2,0.04
3,0.1
4,0.224
5,0.54
6,1.56
7,2.88
8,1.184
9,1.864
10,0.728
11,1.192
12,1.064
13,8.616
14,3.94
15,2.376
16,3.328
17,7.572
18,12.876
19,2.392
20,10.884
21,5.26
22,1.328
23,28.792
24,7.48
0,0
1,0.012
2,0.048
3,0.136
4,0.456
